Internship Id,Role,Company Name,Location,Duration,Stipend,Intern Type,Skills,Perks,Hiring Since,Opportunity Date,Opening,Hired Candidate,Number of Applications,Website Link,Stipend Amount,Has Skills,Has Perks,Stipend Specified,City,Country,Posting Date,Posting Month,Posting Year,Days Since Posted,Number of Skills,Number of Perks,Duration Category_Long-term (5-6 months),Duration Category_Medium-term (3-4 months),Duration Category_Short-term (1-2 months),Stipend Currency_GBP,Stipend Currency_INR,Stipend Currency_Performance-based,Stipend Currency_USD,Stipend Currency_Unknown,Stipend Currency_Unpaid,Stipend Currency_Unspecified
2458286,Content Writing Internship,Digi Acai,"('Gurgaon', 'Gurgaon', 'Delhi, Gurgaon, Noida', 'Delhi, Gurgaon, Noida')",3,"₹ 5,000-10,000 /month","['Internship', 'Internship with job offer', 'Internship with job offer']","['Blogging', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages']",Hiring since August 2023,5 opportunities posted,4,,0.0,http://digiacai.com,5000.0,True,True,True,('Gurgaon',Noida'),,,,,4,4,False,True,False,False,True,False,False,False,False,False
2458429,Alt Text Writing Internship (Remote),Paradise Solutions,"('Work from home',)",3,"₹ 5,000-7,000 /month",['Internship'],"['Content Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since January 2022,334 opportunities posted,20,165 candidates hired,0.0,,5000.0,True,True,True,('Work from home',),,,,,3,3,False,True,False,False,True,False,False,False,False,False
2457634,Digital Marketing Internship,Aidhive Workshop Private Limited,"('Patna', 'Amritsar, Delhi, Gurgaon, Jabalpur, Kolkata, Lucknow, Patna, Pune, Udaipur, Bangalore, Mumbai, Jaipur, Noida, Bhopalgarh, Gwalior West', 'Chennai, Delhi, Ghaziabad, Gurgaon, Indore, Lucknow, Patna, Pune, Udaipur, Bangalore, Hyderabad, Bhopal, Mumbai, Noida, Gwalior West', 'Chennai, Delhi, Ghaziabad, Gurgaon, Kolkata, Patna, Pune, Ranchi, Bangalore, Hyderabad, Bhopal, Mumbai, Noida, Nagpur, Nashik')",3,"₹ 5,000 /month",['Internship'],"['Digital Marketing', 'Email Marketing', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code']",Hiring since April 2024,1 opportunity posted,1,,0.0,,5000.0,True,True,True,('Patna',Nashik'),,,,,5,4,False,True,False,False,True,False,False,False,False,False
2457633,Video Editing/Making Internship,Pankaj Joshi,"('Mohali',)",6,"₹ 15,000 /month",['Internship'],"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Video Editing']","['Certificate', 'Letter of recommendation', 'Informal dress code', 'Free snacks & beverages']",Hiring since April 2024,1 opportunity posted,2,,0.0,,15000.0,True,True,True,('Mohali',),,,,,5,4,True,False,False,False,True,False,False,False,False,False
2447330,Shopify  Developer Internship Intern (Remote),Shambhavi BG,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",2,"₹ 4,000 /month +  Incentives",['Internship'],"['Certificate', 'Flexible work hours', '5 days a week']","['Certificate', 'Flexible work hours', '5 days a week']",Hiring since July 2022,6 opportunities posted,2,,0.0,,4000.0,True,True,True,('Work from home','Work from home'),,,,,3,3,False,False,True,False,True,False,False,False,False,False
2457590,Civil Engineering Internship,Mvikas Technologies Private Limited,"('Odisha, Chandigarh, Jharkhandi, Bihar, Rajasthan, Maharashtra, Andhra Pradesh, Gujarat, Karnataka', 'Chennai, Jabalpur, Indore, Kolkata, Pune, Bangalore, Hyderabad, Bhopal, Mumbai, Nagpur, Nashik')",3,"₹ 4,000-7,000 /month",['Internship'],"['Certificate', 'Letter of recommendation']","['Certificate', 'Letter of recommendation']",Hiring since April 2024,1 opportunity posted,7,,0.0,,4000.0,True,True,True,('Odisha,Nashik'),,,,,2,2,False,True,False,False,True,False,False,False,False,False
2457587,Product Marketing Internship,Hiten Gala,"('Mumbai', 'Mumbai', 'Mumbai', 'Chennai, Bangalore, Hyderabad, Mumbai')",6,"₹ 6,000 /month +  Incentives","['Internship', 'Internship with job offer']","['Flexible work hours', '5 days a week']","['Flexible work hours', '5 days a week']",Hiring since April 2024,1 opportunity posted,1,,0.0,http://hair2wear.in,6000.0,True,True,True,('Mumbai',Mumbai'),,,,,2,2,True,False,False,False,True,False,False,False,False,False
2458269,Web Development Internship,WeDoo Contractors And Manufacturers,"('Chennai', 'Akola, Aurangabad, Chennai, Delhi, Kolkata, Patna, Pune, Amravati, Ahmednagar, Hyderabad, Mumbai, Baramati, Noida, Nashik, Andhra Pradesh', 'Ahmedabad, Amritsar, Chandigarh, Chennai, Delhi, Gurgaon, Kolkata, Pune, Surat, Bangalore, Hyderabad, Vadodara, Mumbai, Noida, Bangarapet', 'Ahmedabad, Chandigarh, Chennai, Coimbatore, Pune, Surat, Ahmednagar, Bangalore, Vadodara, Mumbai, Kochi, Jaipur, Nagpur, Nashik, Goa Velha')",3,"₹ 4,000 /month",['Internship with job offer'],"['Adobe Photoshop', 'Canva', 'Content Writing', 'CSS', 'HTML', 'JavaScript', 'MySQL', 'PHP', 'WordPress']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Free snacks & beverages', 'Job offer']",Hiring since December 2021,4 opportunities posted,2,,0.0,,4000.0,True,True,True,('Chennai',Goa Velha'),,,,,9,7,False,True,False,False,True,False,False,False,False,False
2458268,Company Secretary (CS) Internship,Udyog Buddy,"('Jabalpur',)",12,"₹ 5,000 /month",['Internship'],[],[],Hiring since March 2021,4 opportunities posted,2,,0.0,,5000.0,False,False,True,('Jabalpur',),,,,,0,0,False,False,False,False,True,False,False,False,False,False
2455532,Market Research Internship,Afterthought Feedback Services Private Limited,"('Hyderabad', 'Hyderabad', 'Bangalore, Hyderabad', 'Chennai, Bangalore, Hyderabad, Mumbai')",3,"₹ 15,000 /month +  Incentives","['Internship with job offer', 'Internship with job offer']","['English Proficiency (Spoken)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']","['Certificate', 'Letter of recommendation', 'Job offer']",Hiring since May 2018,12 opportunities posted,2,,0.0,https://studynsurvey.com,15000.0,True,True,True,('Hyderabad',Mumbai'),,,,,5,3,False,True,False,False,True,False,False,False,False,False
2458265,Human Resources (HR) Internship,Blissful Plans,"('Delhi, Gurgaon', 'Faridabad, Delhi, Ghaziabad, Gurgaon, Noida', 'Chennai, Delhi, Pune, Bangalore, Hyderabad, Mumbai', 'Ahmedabad, Aurangabad, Delhi, Gurgaon, Indore, Lucknow, Pune, Surat, Ahmednagar, Vadodara, Bhopal, Mumbai, Baramati, Nagpur, Nashik')",3,"₹ 5,000 /month","['Internship', 'Internship with job offer']","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-Word']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since July 2019,205 opportunities posted,2,12 candidates hired,0.0,http://blissfulplans.com/,5000.0,True,True,True,('Delhi,Nashik'),,,,,5,3,False,True,False,False,True,False,False,False,False,False
2457558,Business Development (Sales) Internship (Part time/Remote),Online Scope,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",3,"₹ 1,000 /month +  Incentives","['Internship', 'Internship with job offer']","['Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing', 'MS-Excel']","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']",Hiring since October 2023,3 opportunities posted,5,,0.0,http://onlinescope.in,1000.0,True,True,True,('Work from home','Work from home'),,,,,5,4,False,True,False,False,True,False,False,False,False,False
2458250,Marketing Internship,Engineer Philosophy Web Services Private Limited,"('Indore, Ujjain', 'Indore', 'Indore', 'Indore')",3,"₹ 5,000 /month","['Internship with job offer', 'Internship with job offer']","['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Informal dress code', '5 days a week', 'Job offer']",Hiring since November 2017,33 opportunities posted,2,2 candidates hired,0.0,http://www.engineerphilosophy.com/,5000.0,True,True,True,('Indore,'Indore'),,,,,7,5,False,True,False,False,True,False,False,False,False,False
2457570,Graphic Design Internship,Hir'd Services Private Limited,"('Indore',)",2,"₹ 6,000 lump sum",['Internship'],"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'CorelDRAW', 'Video Editing']","['Certificate', 'Letter of recommendation']",Hiring since January 2024,4 opportunities posted,4,,0.0,https://hird.in,6000.0,True,True,True,('Indore',),,,,,6,2,False,False,True,False,True,False,False,False,False,False
2457392,Event & Artist Management Internship,Dynamo Entertainment & Talent Management Private Limited,"('Mumbai', 'Mumbai', 'Mumbai', 'Mumbai')",6,"₹ 10,000 /month",['Internship'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Event Management', 'MS-PowerPoint', 'MS-Word']","['Certificate', 'Informal dress code']",Hiring since January 2018,60 opportunities posted,1,13 candidates hired,0.0,http://www.dynamoartist.com,10000.0,True,True,True,('Mumbai','Mumbai'),,,,,5,2,True,False,False,False,True,False,False,False,False,False
